,submission_id,itemID,type,setting,region,avg_rt,phrase,phrase_length,speakerKnowledge,is_a_quantifier,item_has_a_scalar_trigger_sentence,triggerType
153,3409,11,trigger,scalar,2_s_ntw_1,275.0,Some of the bottles of Chardonnay were missing.,8.0,full,no,yes,scalar
154,3409,11,trigger,scalar,3_s_ntw_2,247.5,Some of the bottles of Chardonnay were missing.,8.0,full,no,yes,scalar
155,3409,11,continuation,cancelation,cancelation_1,238.0,"In fact, they all were even though I had secured them.",11.0,full,no,yes,scalar
156,3409,11,continuation,cancelation,cancelation_2,311.5,"In fact, they all were even though I had secured them.",11.0,full,no,yes,scalar
157,3409,11,continuation,cancelation,cancelation_3,332.0,"In fact, they all were even though I had secured them.",11.0,full,no,yes,scalar
158,3409,11,continuation,cancelation,cancelation_4,291.0,"In fact, they all were even though I had secured them.",11.0,full,no,yes,scalar
159,3409,16,trigger,focused,1_f_particle,360.0,Only some of my new bottles of vodka were opened.,10.0,full,no,no,focused
160,3409,16,trigger,focused,2_f_quantifier,343.0,Only some of my new bottles of vodka were opened.,10.0,full,no,no,focused
161,3409,16,trigger,focused,3_f_ntw_1,305.5,Only some of my new bottles of vodka were opened.,10.0,full,no,no,focused
162,3409,16,trigger,focused,4_f_ntw_2,274.0,Only some of my new bottles of vodka were opened.,10.0,full,no,no,focused
163,3409,16,continuation,complement,1_anaphor,305.5,"The others were untouched, but I was still concerned and decided to call her parents.",15.0,full,no,no,focused
164,3409,16,continuation,complement,2_predicate,372.0,"The others were untouched, but I was still concerned and decided to call her parents.",15.0,full,no,no,focused
165,3409,16,continuation,complement,3_clause_boundary,302.0,"The others were untouched, but I was still concerned and decided to call her parents.",15.0,full,no,no,focused
166,3409,16,continuation,complement,4_next_two_words,330.0,"The others were untouched, but I was still concerned and decided to call her parents.",15.0,full,no,no,focused
167,3409,1,trigger,focused,1_f_particle,287.0,Only some of the gold watches were fakes.,8.0,partial,no,no,focused
168,3409,1,trigger,focused,2_f_quantifier,332.5,Only some of the gold watches were fakes.,8.0,partial,no,no,focused
169,3409,1,trigger,focused,3_f_ntw_1,300.0,Only some of the gold watches were fakes.,8.0,partial,no,no,focused
170,3409,1,trigger,focused,4_f_ntw_2,279.5,Only some of the gold watches were fakes.,8.0,partial,no,no,focused
171,3409,1,continuation,complement,1_anaphor,315.5,"The rest were real, but the company is still planning to sue.",12.0,partial,no,no,focused
172,3409,1,continuation,complement,2_predicate,286.0,"The rest were real, but the company is still planning to sue.",12.0,partial,no,no,focused
173,3409,1,continuation,complement,3_clause_boundary,278.0,"The rest were real, but the company is still planning to sue.",12.0,partial,no,no,focused
174,3409,1,continuation,complement,4_next_two_words,273.0,"The rest were real, but the company is still planning to sue.",12.0,partial,no,no,focused
175,3408,16,trigger,scalar,1_s_quantifier,241.5,Some of my new bottles of vodka were opened.,9.0,full,no,yes,scalar
176,3408,16,trigger,scalar,2_s_ntw_1,263.5,Some of my new bottles of vodka were opened.,9.0,full,no,yes,scalar
177,3408,16,trigger,scalar,3_s_ntw_2,236.0,Some of my new bottles of vodka were opened.,9.0,full,no,yes,scalar
178,3408,16,continuation,complement,1_anaphor,372.0,"The others were untouched, but I was still concerned and decided to call her parents.",15.0,full,no,yes,scalar
179,3408,16,continuation,complement,2_predicate,417.0,"The others were untouched, but I was still concerned and decided to call her parents.",15.0,full,no,yes,scalar
180,3408,16,continuation,complement,3_clause_boundary,267.0,"The others were untouched, but I was still concerned and decided to call her parents.",15.0,full,no,yes,scalar
181,3408,16,continuation,complement,4_next_two_words,298.0,"The others were untouched, but I was still concerned and decided to call her parents.",15.0,full,no,yes,scalar
182,3408,5,trigger,focused,1_f_particle,276.0,Only some of the real estate investments lost money.,9.0,full,no,no,focused
183,3408,5,trigger,focused,2_f_quantifier,309.5,Only some of the real estate investments lost money.,9.0,full,no,no,focused
184,3408,5,trigger,focused,3_f_ntw_1,286.0,Only some of the real estate investments lost money.,9.0,full,no,no,focused
185,3408,5,trigger,focused,4_f_ntw_2,251.0,Only some of the real estate investments lost money.,9.0,full,no,no,focused
186,3408,5,continuation,complement,1_anaphor,266.0,The others were successful despite the recent economic downturn.,9.0,full,no,no,focused
187,3408,5,continuation,complement,2_predicate,326.5,The others were successful despite the recent economic downturn.,9.0,full,no,no,focused
188,3408,5,continuation,complement,3_clause_boundary,299.0,The others were successful despite the recent economic downturn.,9.0,full,no,no,focused
189,3408,5,continuation,complement,4_next_two_words,232.5,The others were successful despite the recent economic downturn.,9.0,full,no,no,focused
190,3408,13,trigger,scalar,1_s_quantifier,287.0,Some of its tires were flat.,6.0,full,no,yes,scalar
191,3408,13,trigger,scalar,2_s_ntw_1,265.5,Some of its tires were flat.,6.0,full,no,yes,scalar
192,3408,13,trigger,scalar,3_s_ntw_2,289.5,Some of its tires were flat.,6.0,full,no,yes,scalar
193,3408,13,continuation,complement,1_anaphor,293.5,The others were fine so it would not cost too much to fix it.,14.0,full,no,yes,scalar
194,3408,13,continuation,complement,2_predicate,258.0,The others were fine so it would not cost too much to fix it.,14.0,full,no,yes,scalar
195,3408,13,continuation,complement,3_clause_boundary,287.0,The others were fine so it would not cost too much to fix it.,14.0,full,no,yes,scalar
196,3408,13,continuation,complement,4_next_two_words,289.0,The others were fine so it would not cost too much to fix it.,14.0,full,no,yes,scalar
197,3408,15,trigger,scalar,1_s_quantifier,247.0,Some of their hotels were expensive.,6.0,partial,no,yes,scalar
198,3408,15,trigger,scalar,2_s_ntw_1,224.0,Some of their hotels were expensive.,6.0,partial,no,yes,scalar
199,3408,15,trigger,scalar,3_s_ntw_2,235.0,Some of their hotels were expensive.,6.0,partial,no,yes,scalar
200,3408,15,continuation,complement,1_anaphor,231.5,The rest were cheap despite my family’s love for luxurious holidays.,11.0,partial,no,yes,scalar
201,3408,15,continuation,complement,2_predicate,233.0,The rest were cheap despite my family’s love for luxurious holidays.,11.0,partial,no,yes,scalar
202,3408,15,continuation,complement,3_clause_boundary,214.0,The rest were cheap despite my family’s love for luxurious holidays.,11.0,partial,no,yes,scalar
203,3408,15,continuation,complement,4_next_two_words,227.0,The rest were cheap despite my family’s love for luxurious holidays.,11.0,partial,no,yes,scalar
204,3408,3,trigger,scalar,1_s_quantifier,245.5,Some of the company’s accountants were there.,7.0,partial,no,yes,scalar
205,3408,3,trigger,scalar,2_s_ntw_1,246.5,Some of the company’s accountants were there.,7.0,partial,no,yes,scalar
206,3408,3,trigger,scalar,3_s_ntw_2,243.5,Some of the company’s accountants were there.,7.0,partial,no,yes,scalar
207,3408,3,continuation,cancelation,cancelation_1,266.5,"In fact, they all were in order to communicate how budget cutbacks were crippling their division.",16.0,partial,no,yes,scalar
208,3408,3,continuation,cancelation,cancelation_2,254.0,"In fact, they all were in order to communicate how budget cutbacks were crippling their division.",16.0,partial,no,yes,scalar
209,3408,3,continuation,cancelation,cancelation_3,260.0,"In fact, they all were in order to communicate how budget cutbacks were crippling their division.",16.0,partial,no,yes,scalar
210,3408,3,continuation,cancelation,cancelation_4,238.0,"In fact, they all were in order to communicate how budget cutbacks were crippling their division.",16.0,partial,no,yes,scalar
211,3408,14,trigger,scalar,1_s_quantifier,244.0,Some of my predictions were correct.,6.0,partial,no,yes,scalar
212,3408,14,trigger,scalar,2_s_ntw_1,266.0,Some of my predictions were correct.,6.0,partial,no,yes,scalar
213,3408,14,trigger,scalar,3_s_ntw_2,402.0,Some of my predictions were correct.,6.0,partial,no,yes,scalar
214,3408,14,continuation,cancelation,cancelation_1,265.5,"In fact, they all were so I should be able to publish the results.",14.0,partial,no,yes,scalar
215,3408,14,continuation,cancelation,cancelation_2,269.0,"In fact, they all were so I should be able to publish the results.",14.0,partial,no,yes,scalar
216,3408,14,continuation,cancelation,cancelation_3,32.0,"In fact, they all were so I should be able to publish the results.",14.0,partial,no,yes,scalar
217,3408,14,continuation,cancelation,cancelation_4,31.0,"In fact, they all were so I should be able to publish the results.",14.0,partial,no,yes,scalar
218,3408,22,trigger,scalar,1_s_quantifier,267.0,Some of their losses were close.,6.0,full,no,yes,scalar
219,3408,22,trigger,scalar,2_s_ntw_1,241.0,Some of their losses were close.,6.0,full,no,yes,scalar
220,3408,22,trigger,scalar,3_s_ntw_2,255.0,Some of their losses were close.,6.0,full,no,yes,scalar
221,3408,22,continuation,complement,1_anaphor,244.5,The others were blowouts which made the games boring to watch.,11.0,full,no,yes,scalar
222,3408,22,continuation,complement,2_predicate,262.0,The others were blowouts which made the games boring to watch.,11.0,full,no,yes,scalar
223,3408,22,continuation,complement,3_clause_boundary,239.0,The others were blowouts which made the games boring to watch.,11.0,full,no,yes,scalar
224,3408,22,continuation,complement,4_next_two_words,276.0,The others were blowouts which made the games boring to watch.,11.0,full,no,yes,scalar
225,3408,9,trigger,scalar,1_s_quantifier,254.5,Some of the dishes were spicy.,6.0,partial,no,yes,scalar
